variable_name	variable_type	variable_values	variable_unit	variable_description
facility_id	numerical	integer		The identification number of the facility in the order they were visited.
facility_name	categorical	text		The name of the facility the data was collected at
brand	categorical	text		The manufacturer or brand name of the item.
model	categorical	text		The specific model number of the item.
description	categorical	text		A summary of the item.
type	categorical	text		The category or classification of the item.
use	categorical	text		What the generated power by the system is used for.
panel_count	numerical	integer		How many solar panels belong to this system.
panel_size	categorical	text		The qualitative size category of the panels.
np_total_storage_capacity_wh	numerical	integer	Watthours	The total nominal storage capacity.
storage_type	categorical	text		The type of storage used.
battery_corrosion	categorical	text		Whether there is visible corrosion of the battery. 
battery_dust	categorical	text		Whether there is signs of dusty buildup on the battery. 
inverter_manufacturer	categorical	text		The brand name and type of the inverter.
np_inverter_output_va	numerical	integer	VA 	The rated apparent power output of the inverter.
charge_controller	categorical	text		Whether there is a charge controller.
funding	categorical	text		The source of funding for the item.
installer	categorical	text		The instance that installed the system
functional_donation	categorical	text		Whether the system was functional upon donation
installation_year	numerical	date	year	The year the item was installed.
functional_now	categorical	text		The current functional status of the item.
failure_year	numerical	date	year	The year the item failed.
disfunction_part	categorical	text		The specific part that malfunctioned.
disfunction_cause	categorical	text		The reason for the malfunction.
repair_duty	categorical	text		The organisation responsible for the repair.
repair_wait_time	categorical	text		The duration of time spent waiting for the repair.
repair_success	categorical	text		Whether the repair was successful.
maintenance_by	categorical	text		Who performed the maintenance.
spare_parts	categorical	text		Are spare parts in the facility
remote_monitoring	categorical	text		Is the system monitored remotely
functional_but_unused_reason	categorical	text		The reason for the item not being used.
notes	categorical	text		Additional comments or remarks.
images	file	file		A photo or image of the item.
